setpoint,speed,throttle
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
1,415.196363367,0.0
1,410.129840088,-2.05167094892
1,409.571505309,-2.04681585581
1,408.942454488,-2.04352088803
1,408.104093755,-2.03893266399
1,407.47558588,-2.0361875733
1,407.056700906,-2.03425682806
1,406.219215793,-2.02948552618
1,405.591348438,-2.02678535051
1,404.96368967,-2.02362970041
1,404.127130791,-2.01905126177
1,403.499947278,-2.01631188855
1,402.872962707,-2.01319506467
1,402.03728721,-2.00860371694
1,401.410754696,-2.0058671586
1,400.784410995,-2.00273579769
1,399.949575512,-1.99849059798
1,399.115065963,-1.99399481894
1,398.489394851,-1.99127967587
1,397.86390305,-1.98813487141
1,397.03019132,-1.98357195674
1,396.405114763,-1.98084171643
1,395.780215841,-1.97773522563
1,394.947294212,-1.97348207018
1,394.11469121,-1.96899655606
1,393.490450017,-1.96626997483
1,392.866391484,-1.96315002811
1,392.034601245,-1.95862116225
1,391.410977489,-1.95587378158
1,390.787544265,-1.95277459812
1,390.164304394,-1.9494303614
1,389.33362353,-1.94541709142
1,388.503298448,-1.94125075305
1,387.673335869,-1.93681823967
1,387.051105907,-1.93407706769
1,386.429086321,-1.93096736393
1,385.600058577,-1.92645359731
1,384.978539365,-1.92371557683
1,384.357238348,-1.920609485
1,383.529179603,-1.91639882076
1,382.701515988,-1.91194003485
1,382.081029652,-1.9092475271
1,381.460768488,-1.90612910512
1,380.634105385,-1.90160487674
1,380.014372728,-1.89889812728
1,379.394867569,-1.89581854312
1,378.569215036,-1.89128233896
1,377.950241772,-1.88857891074
1,377.331496622,-1.88550311043
1,376.506858126,-1.88127722001
1,375.888645526,-1.8779279971
1,375.270661307,-1.87516487639
1,374.447037512,-1.87099478945
1,373.6238198,-1.86655997418
1,373.006673265,-1.86388197612
1,372.389755575,-1.86078037289
1,371.773067237,-1.8573829136
1,371.156608703,-1.85464984501
1,370.540380625,-1.8513963355
1,369.719102394,-1.84735864634
1,368.898234161,-1.84295970367
1,368.282851801,-1.84024876184
1,367.667699768,-1.8371734379
1,366.847855765,-1.83268654361
1,366.233242333,-1.8300021708
1,365.618860216,-1.82694806429
1,364.800045048,-1.82278175189
1,364.186205291,-1.81953593779
1,363.368115813,-1.81559349171
1,362.550443653,-1.81120359639
1,361.937464732,-1.80854370477
1,361.324722643,-1.80546311657
1,360.508102986,-1.80131066523
1,359.691907969,-1.79691371559
1,359.080041344,-1.79425866708
1,358.468415454,-1.79118369464
1,357.653289788,-1.78674569011
1,357.042228006,-1.78405382578
1,356.431408829,-1.78103421606
1,355.617361565,-1.77654505129
1,355.007110282,-1.77389702141
1,354.397102716,-1.77083019595
1,353.584138979,-1.76640397491
1,352.974700941,-1.76371926573
1,352.365507065,-1.76067375877
1,351.553628414,-1.75625344111
1,350.945004087,-1.75357232258
1,350.336623764,-1.75053088309
1,349.728487177,-1.74715190849
1,349.120594094,-1.74443394634
1,348.512944299,-1.74141386935
1,347.7031225,-1.73700474896
1,347.096039338,-1.73433041771
1,346.48919873,-1.73131383088
1,345.680454668,-1.72687056075
1,345.074179011,-1.72422264544
1,344.468145367,-1.72121006557
1,343.660476415,-1.71677270568
1,343.055006688,-1.71412831021
1,342.449778678,-1.7111197392
1,341.84479242,-1.70784898904
1,341.240047894,-1.70505488973
1,340.434098152,-1.70064407044
1,339.829918411,-1.69800531198
1,339.225980989,-1.6949860838
1,338.421108828,-1.69090781929
1,337.616669201,-1.68655978576
1,337.013623857,-1.68394303321
1,336.410822628,-1.680912448
1,335.607468171,-1.67651583585
1,335.005238375,-1.67388560488
1,334.403254257,-1.67087614959
1,333.60099197,-1.66650819989
1,332.999583298,-1.66387588392
1,332.398422093,-1.66083603224
1,331.597472469,-1.65678111211
1,330.797113828,-1.65246974351
1,330.196973,-1.64986519781
1,329.597230089,-1.64685027345
1,328.797956138,-1.64247600392
1,328.198884709,-1.6398767515
1,327.599909982,-1.63686512781
1,326.801814439,-1.63282143158
1,326.004086321,-1.62850958255
1,325.4060724,-1.62589775962
1,324.808308433,-1.62292630942
1,324.011726796,-1.61854996174
1,323.414505953,-1.61594142942
1,322.817506936,-1.61295685446
1,322.021836389,-1.60862472003
1,321.624052924,-1.60714530741
1,320.828982594,-1.60291795033
1,320.034169606,-1.59868799131
1,319.438263791,-1.59607955292
1,318.842550331,-1.59310134449
1,318.048580411,-1.58903258231
1,317.254883361,-1.58479364205
1,316.659811556,-1.58218884774
1,315.866750693,-1.5781393839
1,315.073979316,-1.57417596299
1,314.281416989,-1.56992842721
1,313.687292615,-1.56729391721
1,313.09316613,-1.5643736838
1,312.301343923,-1.55998398594
1,311.707540141,-1.55742985638
1,311.113948579,-1.55444551619
1,310.322670493,-1.55011471938
1,309.72937253,-1.54752319607
1,309.136205075,-1.54455760191
1,308.543481983,-1.54129258951
1,307.950760026,-1.5385961424
1,307.358050516,-1.53566769643
1,306.568276762,-1.53136792338
1,306.173562707,-1.52990037937
1,305.384029379,-1.52570172903
1,304.594887218,-1.52150215925
1,304.003143489,-1.51889499043
1,303.411559283,-1.51593737152
1,302.62289147,-1.51192670383
1,301.834666288,-1.50770276014
1,301.243750546,-1.50509959791
1,300.652834819,-1.50214501526
1,299.865184885,-1.49785642635
1,299.2746357,-1.49527140619
1,298.684217403,-1.49230287028
1,297.897366343,-1.48801882931
