setpoint,speed,throttle
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
1,0.000247879577039,0.0
1,0.000247879577039,1.04294866968
1,0.804137409719,1.04069347067
1,2.01104622239,1.03724607696
1,3.21918189146,1.03433142417
1,4.83193028535,1.03028964132
1,6.4468473474,1.02475004659
1,7.6594550153,1.0226225763
1,8.87326484389,1.01970484073
1,10.493545993,1.01396045853
1,11.7101654183,1.01183013098
1,12.9279702693,1.00879115264
1,14.553564449,1.00436945619
1,16.1812701671,0.998629344887
1,17.4026109964,0.996305127612
1,18.6220694569,0.993283945665
1,20.2424362304,0.987354345787
1,21.4527399126,0.985025510231
1,22.6556078412,0.981951426972
1,24.2537079217,0.976201298684
1,25.4473117886,0.973834318037
1,26.6336131809,0.970777186245
1,28.2095113257,0.966335787083
1,29.7782431766,0.96070304459
1,30.9485700236,0.958470671214
1,32.1117689954,0.955405243361
1,33.6569641714,0.949700449111
1,34.8107952378,0.947398135103
1,35.9573051858,0.944386154959
1,37.480146634,0.940022215842
1,38.9957632513,0.934606760647
1,40.1263349895,0.932278218554
1,41.2498415777,0.929293443591
1,42.741905509,0.923729856461
1,43.8559232532,0.921522662876
1,44.962688783,0.918529196985
1,46.4325633664,0.914248825559
1,47.8951696534,0.908889122029
1,48.9859653663,0.906699634237
1,50.0697099008,0.903737283132
1,51.5088922366,0.898318296355
1,52.5832197969,0.896070047856
1,53.650363499,0.893229451956
1,55.0673521183,0.887843166493
1,56.1251359564,0.885674349718
1,57.1757815221,0.882695026913
1,58.5706527388,0.878635448694
1,59.9582637151,0.873380298106
1,60.9928974714,0.871273686154
1,62.0205264364,0.868396224074
1,63.3848567293,0.863191029896
1,64.4031052242,0.861055286933
1,65.4143448859,0.858204237415
1,66.7567712728,0.854150399875
1,68.0919883441,0.849143703246
1,69.0873458631,0.846970647488
1,70.0758436096,0.844245332456
1,71.3879883903,0.839165791054
1,72.367206078,0.837065771315
1,73.3395090613,0.834219580469
1,74.6299561176,0.83029513799
1,75.9131773982,0.825439565448
1,76.8696743575,0.823307526761
1,77.8194324107,0.820644880613
1,79.0799243852,0.81572223825
1,80.0204791497,0.81360506789
1,80.9541810987,0.810913792523
1,82.1932050541,0.806148694405
1,83.1176932942,0.804015500602
1,84.0354795489,0.801352676631
1,85.2532433463,0.797549100357
1,86.4639702649,0.792972367586
1,87.3662513786,0.790869366098
1,88.2620364431,0.788246419873
1,89.4505033688,0.783573829683
1,90.3371127337,0.781574394549
1,91.2171355546,0.778956611135
1,92.3847239164,0.774695392911
1,93.2559080276,0.772425775167
1,94.4082989186,0.768841736802
1,95.5542835719,0.76432009405
1,96.4081510816,0.762396713842
1,97.2556127141,0.759842679152
1,98.3799294444,0.756241502685
1,99.497409574,0.751889203483
1,100.329956115,0.749910673196
1,101.156244066,0.747470084603
1,102.252342351,0.74306806348
1,103.06991155,0.741107080905
1,103.881146166,0.738648865871
1,104.95715605,0.735156885805
1,106.026518333,0.73095582655
1,106.823124987,0.729026794114
1,107.613645546,0.726655532079
1,108.662168355,0.722461489006
1,109.444210699,0.72052050119
1,110.22014738,0.718133748764
1,111.249162056,0.714750109502
1,112.271695893,0.710698061369
1,113.033334671,0.708862215287
1,113.789091105,0.706451939347
1,114.791319133,0.702451605428
1,115.538687084,0.700562731286
1,116.280186033,0.698289616148
1,117.263469234,0.694259468739
1,117.996726128,0.692461007895
1,118.724115482,0.690113974505
1,119.688625906,0.686904143918
1,120.646848623,0.683060113595
1,121.360496157,0.681292468346
1,122.068512487,0.679028749324
1,123.007325946,0.675167944983
1,123.707312716,0.673379163561
1,124.401615161,0.671204322489
1,125.322203244,0.66805985403
1,126.236758496,0.664402777174
1,126.917800517,0.662619832507
1,127.593403925,0.660409040122
1,128.488995965,0.656757240987
1,129.156719821,0.655030381518
1,129.81903159,0.652831339719
1,130.696996193,0.649864055991
1,131.569075919,0.646287597752
1,132.218449187,0.644580919373
1,132.862499641,0.64247851669
1,133.716252604,0.638906269521
1,134.352722241,0.637253031773
1,134.983893015,0.635161984636
1,135.820563726,0.631648387019
1,136.444257983,0.63001546679
1,137.062728207,0.627953845232
1,137.88252101,0.625049951307
1,138.696622074,0.621698776949
1,139.302670201,0.620064081766
1,139.903685453,0.618092145139
1,140.700296378,0.614700096825
1,141.294111542,0.613115210943
1,141.882857364,0.611123230869
1,142.663153219,0.608351394391
1,143.43797622,0.60511822956
1,144.014739356,0.603563589043
1,144.586643143,0.60158077215
1,145.344525188,0.598392693043
1,145.909387183,0.596805024232
1,146.469413067,0.594926519825
1,147.211521055,0.59221170777
1,147.948335993,0.589122264114
1,148.496711429,0.587587084081
1,149.040396721,0.585746487025
1,149.760838295,0.582623088088
1,150.297775499,0.581106034819
1,150.829974958,0.579292650382
1,151.535154151,0.576223767967
1,152.060696165,0.574727278235
1,152.581573051,0.572914139534
1,153.271676649,0.57038042618
1,153.956753825,0.567456572077
1,154.466572127,0.566016504641
1,154.971939246,0.564226651755
1,155.641473269,0.561329995724
1,156.14039239,0.559863288508
1,156.634865249,0.558114869721
1,157.289866737,0.55567615012
1,157.940014595,0.552874508188
1,158.423783241,0.55145678459
1,158.903248862,0.549745702392
1,159.538358137,0.546971066383
1,160.011593838,0.54555331918
1,160.480549994,0.543868714377
1,161.101667307,0.541543883179
1,161.718130765,0.538822424324
