setpoint,speed,throttle
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
1,0.000351305924227,0.0
1,0.000351305924227,1.04214812602
1,0.401945548036,1.0426113822
1,2.01075150955,1.03702502034
1,3.6217333482,1.03158215129
1,4.83139632197,1.02959717206
1,6.04227396512,1.02670659304
1,7.65867004136,1.02103021636
1,8.8723832852,1.01887791214
1,10.0872945713,1.0160164801
1,11.7090426094,1.01156214942
1,13.3329174184,1.00610321365
1,14.5522152877,1.00366052294
1,15.7727011759,1.00063111792
1,17.4018620895,0.994815893401
1,18.6219877887,0.992436629234
1,19.8355889163,0.989353692838
1,21.4479698941,0.984866941397
1,23.0532307761,0.979148276702
1,24.2509684799,0.976831270913
1,25.4415063184,0.973849720214
1,27.0232503895,0.968020543059
1,28.2045923136,0.965706812907
1,29.3785279793,0.962666407142
1,30.9379991754,0.958251846094
1,32.4903067873,0.952748594401
1,33.6483822574,0.950405792932
1,34.7993712789,0.947390078875
1,36.3281468925,0.941815427572
1,37.4697673058,0.939479100245
1,38.604154875,0.9364838918
1,40.1107895998,0.930883875822
1,41.235726019,0.928743769554
1,42.3534815743,0.925848169174
1,43.8382890773,0.920324391731
1,44.9469586678,0.918009821893
1,46.04836824,0.915126342689
1,47.5110360431,0.90961373748
1,48.603087534,0.9073534535
1,49.6878779287,0.904423403047
1,51.1283678763,0.899003661119
1,52.2037277107,0.896824392529
1,53.2719434409,0.893887453767
1,54.6904036388,0.889697224551
1,56.1015872785,0.88447916937
1,57.1538726617,0.882254434714
1,58.1991724392,0.879445873073
1,59.5870663835,0.874144817303
1,60.6230483494,0.871931142153
1,61.6519022192,0.869146774828
1,63.0178281207,0.865021910802
1,64.3766017531,0.859876019578
1,65.3895586986,0.857789133183
1,66.3955979034,0.854947879084
1,67.7312122412,0.849828046417
1,68.7279580679,0.847713105884
1,69.7177383184,0.844898873452
1,71.0315608347,0.839844023071
1,72.0120547101,0.837684658692
1,72.9855606237,0.835043842611
1,74.2777871659,0.83013409132
1,75.2422392181,0.827919141513
1,76.1998611981,0.825186669176
1,77.4706502449,0.820261354161
1,78.4188891719,0.818194324973
1,79.3603313718,0.815463737957
1,80.609747594,0.811595385622
1,81.8520576827,0.806862067407
1,82.7779333277,0.804766160632
1,83.697182509,0.802101460894
1,84.9169763907,0.797395409371
1,85.8270818533,0.79528077952
1,86.7305472193,0.792698826606
1,87.9293226542,0.788860569523
1,89.1210878458,0.784362918674
1,90.0091422981,0.78227903151
1,90.8907900727,0.77968322197
1,92.0604487092,0.775070455729
1,92.9329961018,0.773037034742
1,93.7989898373,0.770522820847
1,94.9479231813,0.766843322884
1,96.0900182631,0.762414624865
1,96.9409363566,0.76041198025
1,97.7855151154,0.757937067504
1,98.9059547789,0.753456578334
1,99.7417254324,0.751471132192
1,100.571077139,0.749025405282
1,101.671252073,0.744553954989
1,102.491836417,0.742669069093
1,103.306053667,0.740182308388
1,104.116823846,0.737028787063
1,104.922943559,0.734952412119
1,105.990577319,0.731440688968
1,107.05202034,0.727337533895
1,107.842726095,0.725387357403
1,108.627451716,0.723027724344
1,109.668220003,0.719553190353
1,110.702443524,0.715534829717
1,111.472796843,0.71361427596
1,112.237269747,0.711251133302
1,113.251049888,0.707141417041
1,114.007068521,0.705268391699
1,114.757099768,0.702936082748
1,115.7517242,0.699633695835
1,116.740000203,0.695741058947
1,117.476095695,0.69387189939
1,117.719896227,0.695775620369
1,119.182813017,0.686555296266
1,119.909705933,0.686149227298
1,120.624878466,0.683336230833
1,121.338217029,0.681443001829
1,122.047185729,0.679172487946
1,122.987043261,0.675306624223
1,123.687805024,0.673514799334
1,124.382874836,0.671336462339
1,125.304477267,0.667512240209
1,125.991649593,0.665741512589
1,126.673180215,0.663592040018
1,127.576786213,0.660487446898
1,128.474424041,0.656840210763
1,129.142808362,0.655101624895
1,129.805779716,0.652991519578
1,130.684721547,0.649312733384
1,131.340025696,0.64755639325
1,131.989847004,0.645563453335
1,132.851359924,0.641909399816
1,133.493710403,0.640210081426
1,134.130631582,0.638122610908
1,134.97490145,0.634621584161
1,135.604313215,0.632920118324
1,136.228479847,0.630895033233
1,137.055803866,0.627983032441
1,137.877483685,0.624549930673
1,138.489160733,0.622960826261
1,139.095734716,0.620925247813
1,139.899761574,0.617522803365
1,140.499075481,0.615958843085
1,141.290828127,0.613213212082
1,142.077726868,0.609894897328
1,142.663528163,0.608323700076
1,143.244357535,0.606348879507
1,144.014134983,0.60360244992
1,144.778484429,0.600403529783
1,145.347431788,0.598860390862
1,145.911564078,0.59692522235
1,146.659157963,0.593719911389
1,147.216332357,0.592165612793
1,147.768660589,0.590303635731
1,148.500577104,0.587138052065
1,149.04608126,0.585575693508
1,149.586772376,0.583756957105
1,150.303199555,0.581135821632
1,151.014510054,0.578119307563
1,151.543877853,0.57664365905
1,152.068671046,0.574804260886
1,152.764006154,0.571815452677
1,153.282186091,0.570284476772
1,153.795777473,0.568528754264
1,154.476174268,0.56600488511
1,155.15162558,0.563173109432
1,155.654289181,0.561755769625
1,156.318212609,0.559230173519
1,156.977626065,0.556406164023
1,157.468250386,0.555023084798
1,158.116160376,0.552644192096
1,158.75978719,0.549829267791
1,159.238712793,0.548419130642
1,159.713317948,0.546719017637
1,160.341970947,0.543966035754
1,160.810387017,0.542556293628
1,161.274554637,0.540882471534
